27X;vn4;Geschichte des Christentums in Europa;"{""kiel"":[""ska 209.100"",""ska 209.200"",""ska 209.400"",""ska 209.600"",""ska 209.800"",""ska 218?"",""gsb 936.50"",""gsb 936.60"",""ska 340?"",""ska 341?"",""ska 342?"",""ska 343?"",""ska 344?"",""ska 984?"",""rel 491:bir 3"",""gsd 475?"",""ska 489?"",""ska 984?"",""gsd 475?"",""gsd 485?"",""gsd 970.40"",""ska 652?"",""ska 654?"",""ska 666?"",""ska 668?"",""gsd 485?"",""ska 652?"",""ska 654?"",""ska 666?"",""ska 668?"",""ska 864?"",""ska 869?"",""ska 867.900""],""goe"":{""fi"":"" lsg=\""7 ci?\"" or lsg=\""7 qum 700\""""}}";History of christianity in Europe
281;28X;Alte Kirche, Ostkirche;"{""goe"":{""fi"":"" lsg=\""7 civ 360\""""}}";Early church, Eastern church
282;28X;Katholische Kirche;"{""kiel"":[""ska 220.100"",""ska 353?"",""ska 479?"",""ska 661?"",""ska 866.100""],""goe"":{""fi"":"" lsg=\""7 cih 000\""""}}";Roman Catholic Church
284;28X;Protestantische Konfession;"{""kiel"":[""ska 479?"",""rel 719?""],""goe"":{""fi"":"" lsg=\""7 cik 100\""""}}";Protestant denomination
289;28X;Andere christliche Konfessionen und Sekten;"{""kiel"":[""ska 221?"",""ska 488?"",""ska 662?"",""ska 866.600""],""goe"":{""fi"":"" lsg=\""7 cix 000\""""}}";Other christian denominations and sects
28X;vn4;Christliche Konfessionen;"{""kiel"":[""ska 220.100"",""ska 353?"",""ska 479?"",""ska 661?"",""ska 866.100"",""ska 479?"",""rel 719?"",""ska 221?"",""ska 488?"",""ska 662?"",""ska 866.600""],""goe"":{""fi"":""( lsg=\""7 civ 360\"") or ( lsg=\""7 cih 000\"") or ( lsg=\""7 cik 100\"") or ( lsg=\""7 cix 000\"")""}}";Denominations of Christian church
29X;vn4;Andere Religionen, Mythologie;"{""goe"":{""fi"":"" lsg=\""7 cb?\""""}}";Other religions, Mythology
300;30X;Allgemeines;"{""kiel"":[""ska 800?"",""soz 212?""],""goe"":{""fi"":"" lsg=\""7 le?\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}";General works
301;30X;Soziologie, Anthropologie, Länderanalysen;"{""kiel"":[""ska 802?""],""goe"":{""fi"":"" lsg=\""7 le?\"" or lsg=\""7 qua 100\"" or lsg=\""7 qm 190\"" or lsg=\""7 qm 140\"" or lsg=\""7 qm 145\"" or lsg=\""7 qe?\"" or lsg=\""7 wz 000\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\"" or lsg=\""7 le 050\"" or lsg=\""7 dk 000\""""}}";Sociology, Anthropology, Analyses of states
302;30X;Soziale Interaktion;"{""kiel"":[""ska 805?"",""ska 935?""],""goe"":{""fi"":"" lsg=\""7 lec 120\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}";Social interaction
